,Disease,Description,Symptoms
43,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
44,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
45,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.," skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
46,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
47,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
48,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
49,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
50,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
51,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
52,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
53,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
54,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
55,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.," skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
56,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
57,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,"
58,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,"
59,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,"
60,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
61,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
62,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
63,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
64,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
65,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
66,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
67,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
68,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
69,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
70,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
71,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
72,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
73,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
74,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
75,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
76,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
77,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
78,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
79,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
80,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
81,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
82,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
83,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
84,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
85,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
86,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
87,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
88,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
89,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
90,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
91,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
92,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
93,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
94,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
95,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
96,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
97,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
98,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
99,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
100,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
101,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
102,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
103,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
104,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
105,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
106,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
107,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
108,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
109,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
110,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
111,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
112,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
113,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
114,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
115,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
116,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
117,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
118,Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,"
